Nombre de archivo,texto
DS_IMG_10.jpg,racista no puedes ser si mas no existen razas
DS_IMG_1002.jpg,yo pruebax 8 la 1 saco en km 7x igo ns i saca am yos madlardo burro
DS_IMG_1005.jpg,ahi el pedalea rapido hijo viene dueno
DS_IMG_1006.jpg,debes quererte y tal cual aceptarte ly eres ao yo a los aconsejo que
DS_IMG_1007.jpg,he contado las jle feministal aliado ventajas de un ser nwn bi
DS_IMG_1008.jpg,la dios unica regla es que evai dotoicito e
DS_IMG_101.jpg,memes feministas memes racistas de memes south park
DS_IMG_1010.jpg,tlo teisenbers mama mierda laamatar mi me xzev
DS_IMG_1011.jpg,cuando venezolano un se da dios le entera que pan al dientes tiene no que
DS_IMG_1013.jpg,cuando el esta 9010 cp en piden te tu celular prestado y ndahora porbavor
DS_IMG_1014.jpg,un chico toca que un instrumento tocara no oo jamas arma un dix oon xd
DS_IMG_1015.jpg,anio yisus cada eil enlia idelaresureccion fiesta
DS_IMG_1016.jpg,tla venezolana quiere no ser mi noviar yo mochila la lin pan en con
DS_IMG_1017.jpg,si mananan muriera dirias hoy2 ique me juanitomemes dinero prestame manana pago te
DS_IMG_1019.jpg,caminando por la negro calle vialun televisor cargandoun separece pense al mioo mio esta casa pero el en limpiando mis zapatos memaganeraton ne
DS_IMG_1021.jpg,cfe wenas tardes wenas tardes senor fe lk vengo pagar a la luz cee
DS_IMG_1022.jpg,xwey la mera eres verga automaticamente yoi
DS_IMG_1023.jpg,yor bien sin nadie estoy mi cuerpo s cogerl quiero tlosice tions dr
DS_IMG_1025.jpg,desmotivaciones es cuando dicen te gemelas tires te que a unas
DS_IMG_1026.jpg,rock memes re correll corre nino
DS_IMG_1028.jpg,yo racista no soy pero los negros tienen hambre si que se coman alos gitanos memegeneratores
DS_IMG_1029.jpg,nino cuando al cancer ves con de usando filtro edad el para ver de vera viejitons como se
DS_IMG_1031.jpg,solo un bocado mas y listo totali manana me mato gyms en el
DS_IMG_1032.jpg,hijos los les a veces a de victimas las toca ser de cagadas los padres o
DS_IMG_1033.jpg,doble ati ija m por berrinchuda toxicay
DS_IMG_1035.jpg,cuando sube muerto se te el andas bien filoso pero
DS_IMG_1036.jpg,del cumpleanos de lo mejor sobrino fue cuando el ilego mi capitan centroamerica jsl a
DS_IMG_1038.jpg,woow romanticos amor eres un todas pusiste velas partes en tienesy ique sorpresa me nos la luze cortaron
DS_IMG_1039.jpg,cc no puedes de la gente tu sacar a vida s asi nomas yo u
DS_IMG_1040.jpg,cantando cuando tu auto vas en y haces los tu mismo te coros e
DS_IMG_1041.jpg,papa el rolex viste senor paso2 del que quex nos hijo ipor preguntame horales la men
DS_IMG_1042.jpg,asi despedir quiero me causando problemas final hasta el
DS_IMG_1047.jpg,diferencia en que se del acne un cura el en que acne espera anos 121 tengas a que
DS_IMG_105.jpg,todos cuando te cantan feliz cumpleanos no y idea de que hacer tienes ni
DS_IMG_1050.jpg,que jabon azulp es un judio pitufo un
DS_IMG_1051.jpg,cuando tambien pero ya hacer aprendiste extranas a a ida china tu com perro a
DS_IMG_1052.jpg,papa humor cel negro que es ese hombre brazost sin t ves dile aplauda que papa ciego pero soy exacto t storishif memedroid l
DS_IMG_1053.jpg,asi de fa iso i tu era amor por m
DS_IMG_1054.jpg,mi religiosa tia le pelo super conese ya ese o ya pareces gayt yo jesus 2 entonces era geys mi mmn mis tia primos v
DS_IMG_1055.jpg,dejame saber si yoi hay algo con pueda ayudarte lo que tambien yoi croersoe lumoe
DS_IMG_1056.jpg,cuando que siempre te preguntan por mal amigo tratas tu a negrouas mabal state dolares mio pague 2 ell es por
DS_IMG_1057.jpg,la increiblellilo ismo sin mama acento m msa
DS_IMG_1058.jpg,que viva la menstruacion ldiotalli es la revolucion como sea igual va a correr sangre
DS_IMG_1060.jpg,es bella mivida pero poetica macion sin bl jjaez joveshs momos pabloemelio aohl buena frase que anotala mario hugo
DS_IMG_1061.jpg,verdad pues aqui vivimos la del principalmente turismoss com estoygilipollas d www
DS_IMG_1062.jpg,pierde familia pierde el leon mi y
DS_IMG_1063.jpg,ahora el viene vacio que camion doy cuanta me que yo huele sobaco el que a soy tx tl
DS_IMG_1065.jpg,el vendedor pollos l yo despues de de preguntarle si tenia pescuezos
DS_IMG_1066.jpg,icual poderi es tu ocultarme d ai horno v
DS_IMG_1067.jpg,tranquilas mujer soy s s l c d g s s
DS_IMG_1068.jpg,cuando vas un a mamay restaurante tu con hay descuento parejas para ao q bld
DS_IMG_107.jpg,mas corre que ique negro con un una television robadae su hermano con el dvd mmcgneratioine
DS_IMG_1070.jpg,no entiendo porque rechazaron mi proyectoen aceerets ca ues
DS_IMG_1071.jpg,mijo usted que estudio actuacion zuela ameme tio ayudele su vava a con la obra imagecheficom
DS_IMG_1072.jpg,yo odio puedes la quitar tu ropate minovios x escucha amiguito eso
DS_IMG_1073.jpg,podia le dijeron que no musico ser por sordera su omaurobrunettipian escucho el pero no los
DS_IMG_1075.jpg,cuando das te cuenta que no es mugre ooe aalexesmu
DS_IMG_1076.jpg,no puedes ser racista si no existen razas
DS_IMG_1077.jpg,despues las morras ciclos de cerrar crmi tl men orrnn
DS_IMG_1079.jpg,si adivinan animal que es no voy manana trabajar a
DS_IMG_108.jpg,debate team b team es porque soy negroe
DS_IMG_1080.jpg,cuando la lenteja comiensa florecer a
DS_IMG_1082.jpg,nunca falta gracioso el que foto hace arruina la caras y
DS_IMG_1083.jpg,imposible todo es representar un sola fotograf pais con una
DS_IMG_1084.jpg,hara doblar como las para sabanas
DS_IMG_1085.jpg,cuando trabajar trabaje quieren que a voy y
DS_IMG_1086.jpg,cuando dice papa tienes te tu que madre los mismos ojos tu que v
DS_IMG_1087.jpg,quijote down
DS_IMG_1088.jpg,un dia normal en africa subsahariana sudeste asiatico haiti venezuela colombia argentina m y agua sal aperiltivo agua como con y plato ipal princ azucar con como
DS_IMG_1089.jpg,del la venganza monaguillo memen noticial
DS_IMG_1092.jpg,hijo de madre los ojos sacaste tu eno jefe seas mamon
DS_IMG_1094.jpg,chicas de diganme ustedes icuantas se se necesitan hacer marchal asi para una esy menos una fue ultimo chiste hizo yese el franco que escamilla de cancelado antes ser anos beristripses
DS_IMG_1095.jpg,si las te gustan conchas cualquiera no te comas mejor ia la comete mi
DS_IMG_1096.jpg,porque ama soy hernandez hernandez
DS_IMG_1097.jpg,cuando sesion de hacen fotos le la a bendicion do todavia ni cumple que no de ido el nac mes
DS_IMG_1099.jpg,de monaguillo buen cigarrilo despues un un s as
DS_IMG_11.jpg,escuelas de alemania los en anos 40s ninos seanracistas
DS_IMG_110.jpg,que epor los asustan negros se tienen diarrear cuando sst secta ooulfikan estan porque piensan que se derritiendo
DS_IMG_1100.jpg,cuando acuerdas te que hija de papa la tu es morningstar s humor black ultra momingstars humorultablack
DS_IMG_1103.jpg,shola iga una cerveza am asorry whisky lo tomo so
DS_IMG_1104.jpg,s5 di payasita le la a pesos encabrona se yque
DS_IMG_1106.jpg,de el conejo pascua mirando chupas como de huevos no son esos q chocolater
DS_IMG_1108.jpg,cuenta cuando te das s ellatesla elegidan que gain
DS_IMG_1109.jpg,eledinsito influ deledinsitoiniu m cuando dicen te aceptamos no tarietal estas tragando yya memes deledinsite nuflo
DS_IMG_111.jpg,rnie ale toxira tu arte cuerpo es ners no ensenes lo se a estupido cualquier
DS_IMG_1111.jpg,que lindo esta sonando con su primer arreston
DS_IMG_1112.jpg,nadier absolutamente nadier disney blancanieves
DS_IMG_1113.jpg,cchichonas maestro nalgonas o con tenga pito entre mas que no delgada tabla rapido la mas sea dijo ell clavo ell carpintero entra
DS_IMG_1114.jpg,pestanas lamor iviste mis postizasi anot amor o o
DS_IMG_1115.jpg,del cielo caer una hermosa manana lu a guadalupana la rivera jenny s nte
DS_IMG_1116.jpg,feliz cuando ella esta esperando bebe tuyo un hermana pero tu es
DS_IMG_1119.jpg,a chairolandia chairdlandia lopez confundiste te de primero andres ahora confundiste de te
DS_IMG_112.jpg,operations cannot possibly fall second a iime comedy ivainee qx9 a kenny nelly lit trors nuestra mision fallo mucho pero aprendimos d las chicas bolasco primero que no tienen es ciertocc eso
DS_IMG_1120.jpg,dedeas cuando a boliviana una
DS_IMG_1122.jpg,oye tocame una
DS_IMG_1123.jpg,iquien sabe de clase esal gata que es
DS_IMG_1124.jpg,wey quie come el carne d roja en jueves y viernes santo o  o
DS_IMG_1125.jpg,cuando al supermercadoyte vas dicen venden de ovarios que no pascuas
DS_IMG_1128.jpg,usted no lia s visto senal la de prolibido ira de mas sor d senal si que la lie visto la que no he visto al esatin platon del da
DS_IMG_1129.jpg,outfits chidos yo queriendo hacer las blusas tengon que verde
DS_IMG_113.jpg,invento racismo ei se 1619 en people in 1618
